instance_name,run_index,execution_time,final_objective
problem_70_0.7,3,57.0,354040.51
problem_70_0.7,4,57.01,350086.96
problem_70_0.7,5,57.02,353855.41
problem_70_0.7,6,57.01,363227.98
problem_70_0.7,7,57.0,356492.49
problem_70_0.7,8,57.0,351359.13
problem_70_0.7,9,57.01,377199.24
problem_70_0.7,10,57.0,365227.99
problem_70_0.7,11,57.01,351328.06
problem_70_0.7,12,57.0,357616.43
problem_70_0.7,13,57.01,368931.27
problem_70_0.7,14,57.01,375282.5
problem_70_0.7,15,57.01,365041.07
problem_70_0.7,16,57.0,347708.01
problem_70_0.7,17,57.01,358440.95
problem_70_0.7,18,57.0,356962.25
problem_70_0.7,19,57.02,354623.12
problem_70_0.7,20,57.01,350194.44
problem_70_0.7,21,57.0,361665.65
problem_70_0.7,22,57.02,369371.16
problem_70_0.7,23,57.02,349086.9
problem_70_0.7,24,57.0,366623.25
problem_70_0.7,25,57.01,361262.96
problem_70_0.7,26,57.01,349789.26
problem_70_0.7,27,57.01,349459.31
problem_70_0.7,28,57.0,349110.12
problem_70_0.7,29,57.0,351574.41
problem_70_0.7,30,57.01,369799.81
problem_70_0.85,1,57.01,388924.13
problem_70_0.85,2,57.01,381422.44
problem_70_0.85,3,57.0,373924.15
problem_70_0.85,4,57.02,390010.14
problem_70_0.85,5,57.01,387243.18
problem_70_0.85,6,57.0,370000.3
problem_70_0.85,7,57.03,383467.01
problem_70_0.85,8,57.03,370714.85
problem_70_0.85,9,57.03,386751.01
problem_70_0.85,10,57.01,388233.53
problem_70_0.85,11,57.04,365968.04
problem_70_0.85,12,57.04,378880.23
problem_70_0.85,13,57.0,364096.85
problem_70_0.85,14,57.02,363517.18
problem_70_0.85,15,57.02,388759.95
problem_70_0.85,16,57.01,371992.28
problem_70_0.85,17,57.02,378503.53
problem_70_0.85,18,57.04,394488.46
problem_70_0.85,19,57.0,384163.58
problem_70_0.85,20,57.02,377145.57
problem_70_0.85,21,57.01,384804.95
problem_70_0.85,22,57.02,373040.66
problem_70_0.85,23,57.02,382227.4
problem_70_0.85,24,57.02,376618.02
problem_70_0.85,25,57.01,377552.97
problem_70_0.85,26,57.01,375909.36
problem_70_0.85,27,57.01,369360.11
problem_70_0.85,28,57.04,381197.55
problem_70_0.85,29,57.01,348439.19
problem_70_0.85,30,57.01,388946.71
